Paper_ID,Included,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Taxa_name,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Sampling_method,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Extracted_from,Evidence_type,Treatment_N,Treatment_Mean,Treatment_error,Treatment_error_type,Control_N,Control_Mean,Control_error,Control_error_type,Contributor_name,Search_date,Notes
Suhling 2000,Y,Suhling 2000 1,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Ischnura elegans,Odonata,Coenagrionidae,,Ischnura elegans,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,11.1,8.4,,9,4.7,3.2,,Daero,,
Suhling 2000,Y,Suhling 2000 2,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Ischnura elegans,Odonata,Coenagrionidae,,Ischnura elegans,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,8.1,8.8,,9,29.4,13.9,,Daero,,
Suhling 2000,Y,Suhling 2000 3,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Orthetrum albistylum,Odonata,Libellulidae,,Orthetrum albistylum,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,0.8,2.5,,9,1.1,1.3,,Daero,,
Suhling 2000,Y,Suhling 2000 4,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Orthetrum albistylum,Odonata,Libellulidae,,Orthetrum albistylum,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,3.2,8.8,,9,6.4,4.4,,Daero,,
Suhling 2000,Y,Suhling 2000 5,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Orthetrum cancellatum,Odonata,Libellulidae,,Orthetrum cancellatum,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,0,0,,9,1.9,3.5,,Daero,,
Suhling 2000,Y,Suhling 2000 6,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Orthetrum cancellatum,Odonata,Libellulidae,,Orthetrum cancellatum,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,1.7,3.5,,9,6.9,6.8,,Daero,,
Suhling 2000,Y,Suhling 2000 7,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Crocothemis erythraea,Odonata,Libellulidae,,Crocothemis erythraea,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,5.3,8,,9,6.7,5.4,,Daero,,
Suhling 2000,Y,Suhling 2000 8,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Crocothemis erythraea,Odonata,Libellulidae,,Crocothemis erythraea,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,100.4,98.7,,9,79.7,35.5,,Daero,,
Suhling 2000,Y,Suhling 2000 9,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,,Google Scholar,43.5166667,4.666666667,France,Species,Sympetrum fonscolombii,Odonata,Libellulidae,,Sympetrum fonscolombii,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,0.3,0.8,,9,0,0,,Daero,,
Suhling 2000,Y,Suhling 2000 10,"Suhling, F., Befeld, S., Häusler, M., Katzur, K., Lepkojus, S., Mesléard, F.",2000,"Effects of insecticide applications on macroinvertebrate density and biomass in rice-fields in the Rhône-delta, France",Hydrobiologia,https://doi.org/10.1023/A:1004006422334,https://www.proquest.com/scholarly-journals/effects-insecticide-applications-on/docview/821469928/se-2?accountid=14511,English,Google Scholar,43.5166667,4.666666667,France,Species,Sympetrum fonscolombii,Odonata,Libellulidae,,Sympetrum fonscolombii,"Nymph, Adult",1997,1997,"Square sampler, cage",Abundance,Individuals/m²,9 Pollution,9.3 Agricultural & forestry effluents,9.3.3 Herbicides & pesticides,Insecticide,,,No insecticide,Table.2,Experimental,9,0.8,1.3,,9,6.1,8.8,,Daero,,
